gene_id	gene_name	F145700	F145701	F145702	F145703	F145704	F145705	F145706	F145707	F145708	F145709	F145710	F145711	F145712	F145713	F145714	F145715	F145716	F145717	F145718	F145719	F145720	F145721	F145722	F145723	F145724	F145725	F145726	F145727	F145728	F145729
ENSG00000245651	AC083805.1	2.99719775738796	0	0	0.870030241742202	0	0	0	0	0	0	0	0.703028544492642	1.93213897199745	0	0.963096356224894	0	1.30800846320114	1.30243276047746	0	0	0	0	0	0	0.966998280948007	0	0	1.345026386018	0	0.863256638442579
ENSG00000245662	LINC02211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.511723005523368	3.85871082952691	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245667	AC006064.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245680	ZNF585B	2671.86219452287	268.865560917798	716.815365140212	162.223047545507	586.115014337331	145.864027394549	602.695021402238	222.24143920793	419.995837372083	267.076764938166	282.809672048597	546.70731610282	171.504530149455	305.803426270144	1251.31126290004	233.857658629217	173.288854180189	429.609269611603	134.650004589703	164.284970331804	255.787183887896	192.762615024235	149.96333054934	141.849209461639	198.065537730721	311.690491851743	477.503258641415	276.122748434244	244.736860234121	171.907067469654
ENSG00000245685	FRG1-DT	75.8586754215025	10.6344575348174	24.1921697560685	7.47698846118298	7.62463844399988	4.07659029452761	6.73199228708387	4.16599860263789	2.76085032161292	1.64029854729891	13.4716621669702	13.2440349356262	9.39488167497489	1.7456130595795	26.2334127655537	7.06845745361159	1.93265723931333	11.6095408910288	0	9.31991505086638	3.11541654043316	14.3963674127482	6.5629518512359	1.7617644125838	4.27550531273594	17.5635070758412	16.4718449052848	8.77719266318837	2.80406367089925	5.32516558603392
ENSG00000245688	AC008659.1	4.1015411129788	0	0.998468739492216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992250584615623	0
ENSG00000245694	CRNDE	11976.6857727442	1141.79136187909	4362.67212210029	579.425274784564	3809.11974103289	1477.92510814705	5053.73732019563	1768.95386389727	3240.70898186911	2138.85449699121	1431.95102067796	1316.10953466959	878.99720535553	864.506339961237	5586.54015111217	3037.75721235341	1828.6781772405	4126.13764644745	1703.48778546127	2817.71581157821	1381.19573763114	2111.41445866161	1481.79158827807	439.906670584315	792.048107272251	2245.57740447615	3805.45450237807	1455.59301655432	1018.75952609727	1088.76924135505
ENSG00000245711	NADK2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245719	AC009292.1	0	0	0	0	0	0	0	0	0	0	0	0	0.998226543524958	0	0	0	0	0	0	0	0.994429968106631	0	1.00173074619585	0	0	0	0	0	0	2.00667348703413
ENSG00000245729	LINC02226	1.00788432526789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245748	AC097382.2	12.1982956948437	2.04521142943935	5.01900975272898	1.00153561320561	1.00918020347906	0	3.02323500530221	0	0	0	1.02029338128324	2.01203657853499	0	1.98732747776986	7.01976227269612	3.97329676846233	0.990000132353833	0.977663922081626	0	0.974715041380504	0	0.988419274512901	0	1.00730510462906	0	1.00367461858402	2.93770302682266	3.98803825591732	0	0
ENSG00000245750	DRAIC	1344.63671513811	52.6340842087101	312.483008226105	48.0757061440038	170.766116642908	71.867823560123	209.134480708866	92.7278175629549	105.376587005203	89.3240022809496	82.8500433512858	39.696254783034	39.6126657675804	51.2451708307811	319.103542295229	158.629123140785	59.6190899115987	159.902069613679	64.4833631357499	110.637781908758	141.222490430206	89.3704142068459	69.8445419891566	19.8752552126715	40.6153725910373	211.703223824251	145.68196113069	117.208472370313	40.3991844474721	43.9730172643629
ENSG00000245768	AC106793.1	42.3189384502905	2.00792656073496	9.99605249167536	10.0010473856011	22.0158345683328	4.41022264056399	14.846564347437	7.78438161205942	6.72164624825467	4.96496836471557	8.11001911135768	16.148976808603	3.0142781818283	9.98949586351076	41.8072169216405	9.72482582492612	6.83929979045323	14.480013681736	1.9120808898396	6.76455726696289	16.8797104415195	10.7668583302425	3.89239765543922	9.95631787161686	6.966608594851	13.7686339406841	13.5565421747917	9.85589311691676	5.94122846814069	8.8902499225122
ENSG00000245812	LINC02202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245832	MIR4300HG	14.5718045391838	1.08622310444122	8.07945332527568	1.00345349361673	4.08397831251043	0	0	0	0	0	1.02597305723873	1.01990936524366	2.02488143624309	2.0160935082711	5.00368753435663	4.90390427830718	0	1.94078367147758	2.8175863538032	0.968736370413904	5.0321557800212	0	1.95987840361893	0.997770776638986	1.99130921732693	1.98432076779851	1.9071882721024	0	0	0
ENSG00000245848	CEBPA	4027.36712667797	239.06646640581	1182.63845563603	525.151151665651	1280.14147232511	291.466148056157	970.459712691126	345.870821978412	368.522490658363	360.529326927091	663.434153489949	1129.58957950312	397.612123951339	713.369541061135	2841.95688907032	633.83935757663	466.940309045535	935.392221961763	353.89081209112	616.559123833172	927.836238577588	707.723823381973	640.367335488186	326.519225531321	344.962294798012	620.799141223742	1717.71149834869	717.442860162139	611.326423854221	578.973916731917
ENSG00000245849	RAD51-AS1	278.301453130621	27.1827756074985	85.6930106844729	10.7252330353493	76.0917095812568	39.7660458444982	113.284213806155	28.5666211929923	66.4852580108762	42.498345789935	25.1409343189848	29.9924350751011	20.6983054128973	29.8678724685035	111.439236821171	59.2642228385871	34.5152216021887	61.2973910927916	11.1110096376886	46.7425215192954	23.5450435755876	22.3384559191679	26.1081559015483	18.7566850223517	20.2966796710258	32.2091784766412	67.8183417354503	26.2466393547634	25.587420325729	28.2765277060933
ENSG00000245857	AF233439.1	45.4635952613146	3.43152930348652	13.5770086207616	7.95810649513223	17.3351642863499	0.72763250252902	6.61551208087089	1.80017075898015	2.14427374796294	2.23018207327576	8.26923300833226	10.9417534361204	4.82347942503037	2.14467759589798	21.6909541845455	0.704287954199358	2.19277153409916	5.66539202217372	7.14082379049678	7.74424069395964	11.9466597129897	18.985223228691	10.4193333454877	13.4631807702419	7.7466539276278	14.9654840914222	17.4718964443279	14.9786783290575	6.10938711377258	5.79037425590304
ENSG00000245864	MEF2C-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245869	AP004609.3	0	0	0	2.02091543070749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.85217609550626	0	0	1.00532382995774
ENSG00000245870	LINC00682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245888	NSMCE1-DT	119.035472431	1.92438935206998	7.88433063278898	5.22945444249797	38.4166184760417	0.482046078601011	19.9335899853128	2.92100918404084	16.5909647439007	5.75286827254897	10.8852961995831	14.1114525061229	6.93797612474282	9.28989191797655	25.7837971968291	16.5738236238848	16.0503714118618	16.514946385815	7.95865771669771	17.8909474014454	0.478378909060735	8.96902229152401	6.75797230430915	0.225689666756425	5.31297995640267	5.28234224402696	24.3484071937003	1.55791378865427	20.496918749756	11.5573294834756
ENSG00000245904	AC025164.2	86.5631769300831	18.6561919094994	24.2562755236018	74.8038832287952	25.5025583287936	14.2758983918555	41.1853002095714	14.5978436892289	42.8309496209009	15.1047011419106	14.0701511192875	21.72357959746	6.69759403750903	27.9433722147467	59.6329766319477	15.1066717128985	15.0759119976246	39.7615121845772	74.3092495621211	12.3946406748622	12.0637172606548	19.8373936241588	11.2219716912516	11.6760224167017	4.9835442797437	32.8036323272677	276.369105283903	41.7563995171858	53.653318947969	68.6379234857025
ENSG00000245910	SNHG6	2718.30339116662	259.818323949275	915.138813515155	378.729192027107	843.556140089101	248.270771077908	918.627675043133	276.691893818796	494.333449673446	391.349619988679	470.118484357595	920.526737612431	382.288462839679	536.160861864864	2299.02881906829	426.955596570136	333.246209709428	830.469010550339	320.302111407359	462.296305218359	653.20050070114	537.505861151514	505.497820076577	314.496558983248	269.704213937546	459.450398285633	1526.43520733004	592.050772101805	527.561246713444	403.288725348994
ENSG00000245928	AC112719.2	1.01077760449344	1.00893030025365	0	0	0	0	0	0	0.974411204094731	0	0	0	1.01672145479153	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93895355132499	0	0	0
ENSG00000245937	LINC01184	5773.21526665615	520.421049635369	1822.47263643473	798.762205581915	1742.2593377277	515.708432885039	1611.71366467778	658.260589790063	1030.88667075828	703.992925594592	709.647389906603	1398.29675264977	714.590151394664	814.318560058409	3875.74384848317	864.810490164422	568.400437374003	1390.30896684283	456.28872623971	622.701685757387	1098.36958534949	899.433493397877	801.041974368081	462.713356293108	557.65321783158	1364.79531258278	2467.15287154513	1258.82939203363	1270.2283557656	1070.02287911877
ENSG00000245954	LINC02273	1.07876538975353	0	0	1.03935118939873	0	0	0	0	0	2.07137944226423	0	0	0	0.775875731222276	1.04057529140579	0	0	0	0.990879496410699	0	0	0	0	0	0	1.04261198710841	1.00193099144591	0	0	1.03455172711428
ENSG00000245958	AC093752.1	887.260968701384	75.000728747342	354.292052334826	95.5000795287442	253.05760669323	110.252507306059	343.033722716745	152.053746847089	301.217619905054	162.388445404258	149.292006889116	243.841662899065	114.937691559629	149.626872316942	808.439133081178	188.080395776966	128.414058898347	404.524229065838	159.651063278242	161.011735305111	216.83578716341	202.149923425292	191.993496953656	98.571805675864	106.090738110497	182.65097726817	344.748215671846	131.821028746575	97.3545761354999	103.867271487719
ENSG00000245970	AP003352.1	0	0	1.0073677917827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245975	AC090515.3	80.7761316710046	13.1741220278235	20.2507338478285	18.2104465637163	23.3356534092738	7.1280206890225	34.1621964980399	5.89701065241446	22.2997580188416	13.0830614642917	7.1946405325427	18.391970756833	4.06933625786526	8.07476519942344	51.5484478056584	9.82646795398412	11.8040696054913	23.5093401116156	7.66329703911297	18.5592703509222	13.0826617226853	4.93736248627599	8.86282948847977	4.01133334744622	8.02448747602538	18.9109640279161	42.7054234807604	13.9536021145842	22.9107071729344	19.8731930847798
ENSG00000246016	LINC01513	3035.18071950587	298.898056283602	1107.69507780068	132.921424234332	1116.50043655512	279.012032901516	946.133847149132	340.496174868113	660.039426143805	400.781864905734	229.816547348095	91.1085902242472	124.957808446156	82.327763934189	837.839842301189	714.08991928982	413.08716994344	1096.91496651239	464.545328994506	610.55207851937	175.067967774276	318.797714842266	237.177471041158	67.9698671281422	106.768503315792	415.969296271461	769.940517743015	271.002789465377	150.266639712274	187.927618286731
ENSG00000246022	ALDH1L1-AS2	5.06828339140344	1.04181300637582	6.13581044047911	0	4.02595343123837	1.0339877380292	4.97129534274559	4.98354570041099	10.6689192909959	3.05990867827141	6.09880397104329	13.0738937825474	5.13565718875107	17.8282948854949	45.8209566749466	1.97100302674676	1.9677511559413	6.82322311300646	3.88020620058671	0.968963039788248	10.9743895882219	11.0273992730282	10.8402733894056	6.87167580094571	7.02443280367246	5.00562580143251	7.76751287835047	12.9683592506521	0	0.99673734727021
ENSG00000246067	RAB30-DT	816.469366048125	59.6824852011699	199.205916806017	58.7946312578623	204.618508111999	55.5207629190408	209.823956475806	107.466073803258	121.125754348087	74.5910653455211	112.63219299265	137.708695704943	67.0747799749811	111.144542135331	453.21603791386	208.092974974153	132.666619156794	236.579971977164	89.9381759060112	155.776378763082	103.902199370261	132.829242195693	72.7114522595379	38.0655441795504	87.1834977840787	87.7685363937855	206.629898697849	65.1247143090965	76.9102163600791	50.9454792036296
ENSG00000246082	NUDT16P1	1513.28625756768	212.141075686811	665.890229147989	190.337222681927	705.810204215897	188.333927578044	763.940744048049	367.544948409901	605.580449148268	301.72093749143	228.505216356827	390.693304138994	217.101505033927	284.567476113365	1150.40882607327	469.036493935384	281.744969013642	806.384136661932	318.781267543323	430.27211351994	293.226897772754	434.326206252685	287.935939992114	174.284825730983	180.216810102341	365.946098484679	969.170083688148	427.596952730826	313.024548995312	337.776641518827
ENSG00000246084	LINC02325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
